Year,Quarter,Total,"Under $150,000","$150,000 to $199,999","Under $200,000","$200,000 to $299,999","$300,000 to $499,999","$500,000 and over","$500,000 to $749,999","$750,000 and over",Region
2002,Q1,16,NA,NA,5,5,5,NA,1,1,Northeast
2002,Q1,68,NA,NA,24,24,15,NA,3,2,West
2002,Q1,112,47,30,NA,23,10,3,NA,NA,South
2002,Q1,42,12,13,NA,11,5,2,NA,NA,Midwest
2002,Q2,18,NA,NA,7,4,5,NA,1,0,Northeast
2002,Q2,77,NA,NA,28,26,17,NA,4,2,West
2002,Q2,116,47,30,NA,22,14,3,NA,NA,South
2002,Q2,49,17,14,NA,13,4,1,NA,NA,Midwest
2002,Q3,17,NA,NA,7,4,5,NA,1,0,Northeast
2002,Q3,68,NA,NA,27,22,14,NA,3,2,West
2002,Q3,120,53,32,NA,22,11,2,NA,NA,South
2002,Q3,49,15,16,NA,12,6,1,NA,NA,Midwest
2002,Q4,13,NA,NA,3,4,4,NA,1,0,Northeast
2002,Q4,60,NA,NA,22,18,16,NA,3,1,West
2002,Q4,102,40,27,NA,20,12,3,NA,NA,South
2002,Q4,46,14,12,NA,12,6,1,NA,NA,Midwest
2003,Q1,19,NA,NA,9,3,5,NA,2,0,Northeast
2003,Q1,70,NA,NA,25,20,20,NA,4,2,West
2003,Q1,123,49,31,NA,25,14,4,NA,NA,South
2003,Q1,44,14,12,NA,12,4,2,NA,NA,Midwest
2003,Q2,21,NA,NA,6,5,7,NA,1,1,Northeast
2003,Q2,90,NA,NA,33,26,22,NA,7,2,West
2003,Q2,138,56,34,NA,27,15,6,NA,NA,South
2003,Q2,50,16,16,NA,11,7,1,NA,NA,Midwest
2003,Q3,20,NA,NA,5,8,6,NA,1,1,Northeast
2003,Q3,79,NA,NA,26,19,23,NA,8,3,West
2003,Q3,137,53,37,NA,28,13,4,NA,NA,South
2003,Q3,57,16,17,NA,14,9,1,NA,NA,Midwest
2003,Q4,19,NA,NA,3,7,7,NA,2,1,Northeast
2003,Q4,67,NA,NA,24,14,21,NA,6,3,West
2003,Q4,114,41,31,NA,24,14,4,NA,NA,South
2003,Q4,38,10,10,NA,11,6,1,NA,NA,Midwest
2004,Q1,22,NA,NA,5,7,7,NA,2,1,Northeast
2004,Q1,91,NA,NA,27,25,28,NA,8,3,West
2004,Q1,151,52,37,NA,35,20,7,NA,NA,South
2004,Q1,49,10,13,NA,16,9,2,NA,NA,Midwest
2004,Q2,25,NA,NA,4,9,8,NA,3,1,Northeast
2004,Q2,96,NA,NA,24,30,29,NA,9,4,West
2004,Q2,150,54,37,NA,33,19,7,NA,NA,South
2004,Q2,58,14,14,NA,16,10,4,NA,NA,Midwest
2004,Q3,17,NA,NA,2,4,7,NA,2,1,Northeast
2004,Q3,85,NA,NA,26,20,24,NA,9,5,West
2004,Q3,133,46,31,NA,30,18,7,NA,NA,South
2004,Q3,57,13,16,NA,15,10,3,NA,NA,Midwest
2004,Q4,19,NA,NA,2,4,8,NA,3,1,Northeast
2004,Q4,75,NA,NA,17,21,23,NA,10,5,West
2004,Q4,127,37,32,NA,31,18,9,NA,NA,South
2004,Q4,47,9,12,NA,15,9,1,NA,NA,Midwest
2005,Q1,18,NA,NA,2,4,9,NA,2,1,Northeast
2005,Q1,94,NA,NA,19,24,33,NA,14,5,West
2005,Q1,168,49,41,NA,41,25,11,NA,NA,South
2005,Q1,48,9,10,NA,17,10,1,NA,NA,Midwest
2005,Q2,26,NA,NA,4,8,10,NA,4,1,Northeast
2005,Q2,97,NA,NA,14,27,37,NA,13,6,West
2005,Q2,164,46,41,NA,41,26,9,NA,NA,South
2005,Q2,64,12,17,NA,21,11,3,NA,NA,Midwest
2005,Q3,20,NA,NA,3,5,7,NA,3,2,Northeast
2005,Q3,93,NA,NA,12,24,36,NA,14,6,West
2005,Q3,161,46,41,NA,36,27,10,NA,NA,South
2005,Q3,53,11,14,NA,16,9,2,NA,NA,Midwest
2005,Q4,17,NA,NA,1,4,7,NA,3,1,Northeast
2005,Q4,74,NA,NA,8,22,30,NA,10,4,West
2005,Q4,146,42,31,NA,40,24,9,NA,NA,South
2005,Q4,40,6,9,NA,15,8,2,NA,NA,Midwest
2006,Q1,16,NA,NA,2,5,6,NA,2,1,Northeast
2006,Q1,78,NA,NA,8,25,30,NA,10,6,West
2006,Q1,148,34,37,NA,41,26,11,NA,NA,South
