"","Price","Regionname","CouncilArea","MonthsSince2016","BuildingAge","Landsize","BuildingArea","Lattitude","Longtitude","Type","Rooms","Distance","Bathroom","Car"
"1",1035000,3,31,2,116,156,79,-37.8079,144.9934,1,2,2.5,1,0
"2",1465000,3,31,15,117,134,150,-37.8093,144.9944,1,3,2.5,2,0
"3",1600000,3,31,6,2,120,142,-37.8072,144.9941,1,4,2.5,1,2
"4",1876000,3,31,5,106,245,210,-37.8024,144.9993,1,3,2.5,2,0
"5",1636000,3,31,10,126,256,107,-37.806,144.9954,1,2,2.5,1,2
"6",1097000,3,31,10,116,220,75,-37.801,144.9989,1,2,2.5,1,2
"7",1350000,3,31,11,11,214,190,-37.8085,144.9964,1,3,2.5,2,2
"8",750000,3,31,11,7,0,94,-37.8078,144.9965,3,2,2.5,2,1
"9",1310000,3,31,10,126,238,97,-37.809,144.9976,1,2,2.5,1,2
"10",1200000,3,31,7,136,113,110,-37.8056,144.993,1,3,2.5,2,1
"11",1176500,3,31,7,126,138,105,-37.8021,144.9965,1,3,2.5,1,1
"12",890000,3,31,9,31,150,73,-37.8011,145.0004,1,2,2.5,1,1
"13",1330000,3,31,15,117,780,135,-37.8073,144.9952,1,4,2.5,2,2
"14",500000,3,31,6,46,0,60,-37.8015,144.9972,3,2,2.5,1,1
"15",1100000,3,31,6,3,124,135,-37.8079,144.9977,1,2,2.5,2,1
"16",1315000,3,31,11,116,147,85,-37.808,144.994,1,2,2.5,1,0
"17",1447500,3,31,8,4,166,174,-37.8017,145.0001,1,3,2.5,3,1
"18",1135000,3,31,8,96,98,128,-37.8005,144.9952,1,2,2.5,2,2
"19",1290000,3,31,14,67,168,124,-37.8007,144.9958,1,3,2.5,1,1
"20",470000,3,31,7,3,0,50,-37.8055,144.9961,3,1,2.5,1,1
"21",1180000,3,31,11,116,162,91,-37.8016,144.9956,1,2,2.5,1,0
"22",1195000,3,31,11,18,120,128,-37.8022,144.9954,1,3,2.5,2,1
"23",1012500,3,31,5,116,182,82,-37.8021,144.9976,1,2,2.5,1,0
"24",1030000,3,31,7,86,172,81,-37.8086,144.9946,1,2,2.5,1,1
"25",840000,7,23,9,0,303,225,-37.718,144.878,2,3,13.5,2,1
"26",730000,7,23,12,51,0,145,-37.7203,144.8755,1,3,13.5,2,1
"27",770000,7,23,15,52,0,145,-37.7203,144.8755,1,3,13.5,2,1
